id	gender	human	number	size	firstmention	mentions	label
0	n	0	sg	1	0	0	EERSTE HOOFDSTUK
1	m	1	sg	563	1	1,2,1025,1028,1026,6,1029,1030,9,2060,13,2063,16,17,18,2039,2065,21,1045,23,24,25,1050,27,28,2068,30,2074,2075,2080,34,2076,36,2085,38,39,40,1062,2088,2090,2097,1074,2101,2106,60,61,62,2109,64,2113,2112,2115,68,1093,1094,1095,2118,73,1098,74,76,1097,2120,1103,1104,1105,82,1107,2127,85,1110,87,1112,2129,2134,2139,2140,2135,2143,1120,97,1121,1122,1124,101,1125,1126,20,1129,1130,1131,2156,1133,110,1135,2157,2159,1138,1139,2168,2169,2171,2179,2181,2183,2185,2186,2190,2191,2192,2195,2197,2066,2204,2205,2203,2215,2220,1202,1204,2230,2231,1211,188,190,2239,1218,1219,2244,1260,198,199,1222,1224,2246,1227,1228,1229,2249,2252,2254,1233,2256,2250,2260,2261,213,215,1240,2265,2266,1242,1244,1245,1246,223,1248,2269,226,2270,2272,1249,2283,2279,232,2280,1258,234,236,2284,238,1263,240,2285,242,2286,1268,2287,2290,1271,1269,1273,250,1275,253,1277,2301,1280,2303,1282,2304,260,261,2306,2308,264,1290,1291,2315,1293,1295,1297,1304,2332,1309,290,292,293,1316,1318,1320,296,1321,299,300,1324,302,1322,304,1328,1329,314,1338,1341,318,321,1346,323,325,1350,327,328,1351,330,1352,2373,1357,2376,1359,1360,337,1362,1356,1364,1365,1367,1370,2394,1374,1376,2400,1378,2401,2404,2407,1385,2409,1389,1392,2416,1393,1396,2420,1399,1400,1403,1405,1406,388,1413,393,1420,1426,1430,407,1432,411,1438,1443,1456,2121,1458,1460,1462,1471,448,451,452,1475,1480,1483,1484,1485,1486,1487,1489,1490,1492,470,1494,1496,1497,475,1501,1506,490,1516,1518,502,1526,1528,1530,507,1533,1534,1539,516,517,1541,1540,520,1546,524,1549,526,529,1554,1555,1553,1557,534,535,537,1561,541,1565,544,545,546,1571,548,1572,551,1576,1575,554,1579,555,1578,1581,1583,556,1585,1586,563,1589,567,568,569,1593,1594,1595,573,1597,576,1600,578,580,1605,581,583,585,586,588,1613,589,593,597,601,1635,616,1642,619,620,1643,622,623,625,626,1652,633,634,640,644,1671,1674,651,663,664,666,1691,1354,1698,1699,1708,1710,1713,1714,1715,1717,709,1742,720,1748,1749,1753,730,1762,1768,1769,745,746,1771,750,1774,752,753,1776,1778,1780,1781,1782,1783,760,763,1790,767,1792,1793,770,1795,1797,1799,1800,1803,1805,1807,1808,787,789,790,1815,1816,1818,796,1820,1821,799,800,811,812,813,1837,1839,817,1842,819,1843,823,824,826,1851,829,1854,831,1856,1857,1859,1863,1873,1876,1877,1878,1879,1880,857,1881,859,1883,1887,1890,1891,1893,1894,1896,1900,1901,1906,1910,1918,1921,1925,1927,1930,1933,1935,1937,1939,1941,1942,1944,924,1948,1950,1952,930,1955,932,1957,935,1962,941,1968,945,951,954,955,959,963,967,970,1994,972,975,976,977,978,980,2004,2007,2008,2012,989,2017,2020,2021,1000,2027,1005,2030,1008,1009,2032,1011,1012,2034,2035,2037,1016,201,2044,1022,2047	Ik
3	m	1	sg	19	3	449,3,195,70,712,19,604,2206,889,865,2274,2214,41,46,629,54,57,570,1727	koffie
4	-	-	sg	4	4	713,4,605,2207	de Lauriergracht
5	n	0	sg	1	5	5	mijn gewoonte
7	n	-	pl	3	7	52,333,7	romans
8	n	0	pl	31	8	65,961,66,67,1285,1286,962,8,1801,1225,1226,269,78,79,400,1618,338,339,1109,91,92,29,224,225,2144,2145,997,998,1265,1266,1267	zulke dingen
10	n	0	sg	1	10	10	een paar riem papier extra
11	n	0	sg	3	11	11,668,334	riem papier extra
12	n	0	sg	1	12	12	het werk
