id	gender	human	number	size	firstmention	mentions	label
0	n	0	sg	1	0	0	EERSTE HOOFDSTUK
1	m	1	sg	564	1	1,2,1026,2049,1029,6,1030,1032,9,1033,2052,2053,2057,1038,2063,1040,17,18,16,2068,21,1045,23,24,25,2074,27,28,1051,30,2077,2079,2081,2082,34,36,2084,38,39,40,2086,1068,2092,2095,1074,2108,61,62,1086,2111,65,2114,2115,13,2117,70,1098,75,76,2123,78,2124,2125,2129,84,2134,87,89,2137,2139,1116,1117,1118,1120,1121,2146,100,20,1126,103,1127,1128,1130,2151,2156,1133,111,2159,1137,2162,2163,2165,1144,1145,1146,2168,1148,1149,1150,2170,2171,1153,1154,1155,2177,1157,2179,1159,2184,2185,1162,1163,2189,2190,2195,1048,1049,2207,2208,2067,2210,2219,2220,1052,2222,1053,2230,2232,2234,2236,189,2237,191,2241,2242,2243,2246,199,200,2248,202,1229,2254,2255,2256,1231,1238,216,2266,1245,1246,2271,224,1249,227,1251,1254,1255,1256,2281,2282,235,1260,237,233,239,241,2290,1267,243,1269,1271,1272,1273,2295,1275,252,2297,2300,255,2303,2305,1276,2307,2301,1285,262,263,2312,2313,266,1290,1287,2318,1295,2319,1296,1298,2322,1300,2323,1302,2325,1304,282,1307,2331,2332,1310,2335,2336,2338,2339,2340,293,295,296,1319,1320,299,1322,1324,302,303,1326,305,2353,307,1332,2355,2356,2358,2360,1337,317,2367,1344,321,1346,1348,1349,1350,324,327,328,330,331,1352,333,1356,1357,2384,340,1366,1369,1374,1378,1379,1380,1385,1386,1388,1389,1391,1393,1394,1396,1399,2426,1403,1405,2429,1407,1408,1414,391,1418,396,1421,1422,2447,1425,1428,1429,2453,2454,1432,2457,410,1434,1435,414,2462,2464,1442,2471,1449,2475,1455,1460,1462,1469,450,1475,453,454,1488,1490,1492,1494,472,477,1503,1507,60,1512,1515,492,1516,1517,1519,1518,1521,1522,1524,1526,504,1529,1530,509,1535,1540,519,520,523,2343,527,1552,529,1554,532,538,539,1562,541,1564,1566,545,1569,1570,548,549,550,1575,552,1577,1576,555,558,559,1582,1585,562,1589,1590,1591,569,1593,573,574,575,1597,1601,579,582,1607,1608,584,586,587,1612,589,1614,1615,592,593,1617,595,1619,1621,1622,596,600,1625,604,1629,1630,1631,608,1633,1636,1641,623,1649,626,627,629,630,632,633,640,641,647,1671,651,1677,1678,658,1687,670,671,673,1706,1709,1727,1734,1735,1744,721,1746,1749,1750,1751,1753,733,744,1779,1785,762,763,1786,1790,767,769,770,1799,777,780,1805,1806,784,1808,787,1811,1813,1815,1817,1818,1819,1820,1827,805,1829,807,1830,1832,1834,808,1836,1837,814,1840,817,1842,819,1844,1845,1852,1853,831,832,833,1855,1857,1858,837,839,843,844,846,849,851,1876,1878,1881,1882,1890,1892,1894,1895,1897,876,1901,878,1912,1915,1916,1917,1918,1919,1920,1922,1927,1931,1932,1934,1935,1937,1941,1942,1948,1952,1961,1611,1964,942,1968,1970,948,1973,950,1976,953,1978,1980,1982,959,1984,1985,1987,964,1991,1993,971,1995,974,1998,2000,975,979,2005,983,987,2011,990,992,995,996,997,998,1000,1009,2039,1021	Ik
3	m	1	sg	18	3	576,3,196,451,611,1763,2265,41,907,46,2257,19,724,884,54,2327,57,636	koffie
4	-	-	sg	4	4	612,2258,4,725	de Lauriergracht
5	n	0	sg	1	5	5	mijn gewoonte
7	n	-	pl	3	7	336,52,7	romans
8	n	0	pl	26	8	66,67,68,8,271,80,81,403,2196,341,342,2197,29,94,93,1313,1314,225,1252,1253,226,1132,1838,1654,1018,1019	zulke dingen
10	n	0	sg	1	10	10	een paar riem papier extra
11	n	0	sg	3	11	337,11,675	riem papier extra
12	n	0	sg	1	12	12	het werk
14	fm	1	sg	3	14	2186,563,14	lieve lezer
15	n	0	sg	4	15	1220,1228,1143,15	de hand
22	n	0	sg	1	22	22	een roman
26	n	0	pl	1	26	26	zaken
31	n	0	sg	1	31	31	de onbeschaamdheid
32	fm	1	sg	1	32	32	een dichter
33	-	-	sg	1	33	33	romanverteller
35	n	0	sg	1	35	35	dat
37	n	0	sg	3	37	572,37,1828	mijn vak
42	-	-	sg	8	42	577,452,613,42,785,2259,885,727	Lauriergracht N
43	n	0	sg	2	43	43,44	een principaal
45	-	-	sg	1	45	45	die
47	n	0	sg	1	47	47	een opgave
48	n	0	sg	1	48	48	een klein gedeelte der onwaarheden
49	-	-	pl	3	49	49,315,316	der onwaarheden
50	-	-	pl	1	50	50	die
51	n	0	pl	1	51	51	gedichten
53	n	0	sg	1	53	53	de hoofdzaak
55	n	0	pl	11	55	768,643,739,2147,618,810,624,625,1297,55,766	Busselinck & Waterman
56	fm	1	pl	10	56	610,195,1762,644,906,723,883,2456,56,59	makelaars in koffie
58	n	0	sg	1	58	58	hun adres
63	fm	1	sg	2	63	72,63	andere valsche
64	n	0	pl	2	64	64,2276	opgaven
69	n	0	sg	7	69	1732,69,2087,1175,969,970,1134	zoo
71	n	0	sg	10	71	736,1381,1318,71,615,1384,622,594,1397,631	de beurs
73	-	-	sg	1	73	73	die
74	n	0	sg	1	74	74	ondervinding
77	n	0	pl	3	77	83,77,79	de oorzaken
82	-	-	pl	1	82	82	de meesten
85	-	-	sg	12	85	323,580,455,553,2283,399,2449,689,2324,85,1303,1755	waarheid
86	n	0	sg	1	86	86	gezond verstand
88	n	0	sg	2	88	88,1125	de Schrift
90	n	0	sg	3	90	90,402,394	een uitzondering
91	n	0	sg	3	91	97,106,91	De fout
92	m	1	sg	4	92	130,131,92,133	Van Alphen
95	-	-	pl	1	95	95	dien ouden
96	m	1	sg	37	96	129,834,835,132,965,2118,838,136,2121,138,139,2119,847,145,958,853,854,856,858,860,861,798,96,800,802,126,869,165,104,107,124,113,116,119,122,956,2110	heer
98	fm	1	sg	1	98	98	een aanbidder van mijn zusje Truitje die zeere oogen had
99	n	0	both	1	99	99	mijn zusje Truitje die zeere oogen had
101	m	1	sg	1	101	101	van mijn broêr Gerrit
102	m	1	sg	2	102	108,102	mijn broêr
105	n	0	sg	2	105	105,1015	zijn neus
109	n	0	pl	1	109	109	die versjes
110	n	0	sg	15	110	1955,228,1962,205,110,206,1936,181,182,2006,219,188,2045,1886,2015	liefde gedrongen
112	fm	1	sg	5	112	112,1923,1077,2200,2201	kind
114	m	1	sg	56	114	1664,1793,257,2306,1668,1797,1415,1672,1800,1802,1675,2311,2191,1681,1683,1684,1814,1686,536,294,1703,1833,298,1835,1708,301,2223,2224,304,1711,308,1729,1730,1731,1733,968,1739,972,1635,1764,1639,1640,873,1642,2157,877,1647,1648,2158,114,115,1652,1398,120,251,127	u
117	-	-	pl	3	117	147,117,118	de marmerknikkers
121	n	0	sg	1	121	121	mijn naam
123	n	0	sg	1	123	123	banket
125	n	0	sg	1	125	125	Batavus
128	fm	1	sg	1	128	128	een leugenaar
134	fm	1	pl	4	134	170,146,142,134	ons
135	m	1	sg	4	135	137,1122,467,135	mijn vader
140	fm	1	sg	2	140	140,141	Pauweltje Winser
143	-	-	sg	1	143	143	de Batavierstraat
144	n	0	sg	1	144	144	mijn kleine hond
148	n	0	sg	2	148	1465,148	de opvoeding
149	n	0	sg	1	149	149	Het nieuwe zusjen
150	-	-	sg	1	150	150	de groenvrouw
151	n	0	sg	2	151	2212,151	een groote kool
152	m	1	pl	1	152	152	Hollanders
153	m	1	pl	2	153	153,155	De Romeinen
154	n	0	pl	1	154	154	de Batavieren
156	m	1	sg	2	156	156,159	De Beij van Tunis
157	n	0	sg	1	157	157	Tunis
158	n	0	sg	1	158	158	een kolijk
160	n	0	sg	1	160	160	de nederlandsche vlag
161	mn	-	sg	2	161	161,163	De hertog van Alva
162	m	1	sg	1	162	162	Alva
164	n	0	sg	1	164	164	De eb
166	n	0	sg	3	166	168,166,167	Nederland
169	fm	1	pl	3	169	169,172,173	onze oude luî
171	n	0	pl	1	171	171	hun zaken
174	n	0	sg	3	174	556,2293,174	het ware geloof
175	n	0	sg	4	175	850,1506,1446,175	de zaak
176	n	0	pl	1	176	176	andere leugens
177	n	0	sg	13	177	387,363,364,365,238,368,177,178,179,244,369,371,183	Een meisjen
180	f	1	pl	1	180	180	zusters
184	n	0	sg	1	184	184	het een
185	n	0	sg	1	185	185	ander voorwerp
186	n	0	sg	4	186	186,187,1999,207	der aarde
190	f	1	sg	11	190	192,2209,193,738,1670,999,1674,526,786,765,190	mijn vrouw
194	n	1	pl	16	194	609,194,1761,415,905,904,751,657,722,882,468,1759,659,469,603,639	Last & Co
197	n	0	sg	3	197	2434,197,223	ons huwelijk
198	m	1	pl	48	198	775,1548,2070,664,411,797,1438,1440,417,1572,1701,2214,680,812,943,688,945,947,1079,1080,1721,1335,198,1095,841,1353,1101,1102,1103,209,210,211,465,1105,1108,218,1760,741,489,490,617,1002,1010,1908,1142,506,508,1662	ons
201	m	1	sg	1	201	201	Artis
203	n	0	sg	1	203	203	een sjaallong van twee-en-negentig gulden
204	n	0	sg	2	204	204,484	twee-en-negentig gulden
208	f	1	sg	4	208	208,242,214,2030	tusschen
212	n	0	sg	1	212	212	een toertje naar den Haag
213	n	0	pl	2	213	1001,213	den Haag
215	n	0	sg	5	215	215,1004,1005,1006,1007	flanel
217	n	0	pl	1	217	217	borstrokken
220	n	0	sg	9	220	459,2188,1291,1707,619,1651,409,220,1278	de wereld
221	n	0	sg	3	221	1632,221,1839	gekheid
222	n	0	pl	1	222	222	leugens
229	n	0	sg	1	229	229	de tering
230	n	0	sg	1	230	230	den hals
231	n	0	pl	1	231	231	de haren uit het hoofd
232	n	0	sg	1	232	232	het hoofd
234	n	0	sg	1	234	234	mijn huishouden
236	n	0	sg	4	236	728,1724,236,1725	het wezen
240	n	0	pl	3	240	240,256,278	verzen
245	n	0	sg	2	245	245,246	verzenmaken
247	-	-	sg	1	247	247	zeker minder moeielijk dan ivoordraaien
248	-	-	pl	1	248	248	ivoordraaien
249	-	-	pl	1	249	249	de ulevellen met deviezen
250	n	0	pl	1	250	250	deviezen
253	n	0	sg	2	253	253,1983	den prijs van een stel billardballen
254	n	0	sg	1	254	254	een stel billardballen
258	n	0	pl	1	258	258	de woorden in gelid
259	n	0	sg	2	259	267,259	gelid
260	n	0	sg	4	260	273,261,260,268	De lucht
264	-	-	sg	1	264	264	die
265	n	0	pl	1	265	265	mijn woorden
269	-	-	sg	1	269	269	De verzenmaker
270	m	1	sg	2	270	272,270	de guurheid van den eersten regel
274	m	1	sg	3	274	440,274,275	de maat
276	n	0	sg	1	276	276	het weêr
277	-	-	sg	1	277	277	Eén van beiden
279	-	-	sg	1	279	279	onwaarheid
280	n	0	sg	1	280	280	den schouwburg
281	n	0	pl	1	281	281	leugens
283	m	1	sg	5	283	290,419,420,283,287	De held van 't stuk
284	n	0	sg	6	284	2192,2435,2357,1801,2474,284	't stuk
285	n	0	sg	3	285	320,285,310	het water
286	m	1	sg	2	286	288,286	die
289	n	0	sg	1	289	289	zijn halve vermogen
291	n	0	sg	1	291	291	de Prinsengracht
292	n	0	sg	1	292	292	mijn hoed
297	-	-	both	1	297	297	die
300	n	0	sg	1	300	300	een dubbeltje
306	n	0	sg	2	306	306,309	zeker mijn halve vermogen
311	-	-	pl	1	311	311	zulke vertooningen op het tooneel
312	n	0	sg	6	312	418,517,406,312,393,335	het tooneel
