id	gender	human	number	size	firstmention	mentions	label
0	n	0	both	1	0	0	TITAANTJES
1	fm	1	pl	139	1	1024,1,513,259,4,5,261,262,8,9,515,11,12,523,270,527,519,273,274,529,531,533,1022,1038,1040,1041,26,1043,1045,1048,769,1050,544,549,1025,551,40,517,1026,44,556,46,47,558,563,565,775,61,62,63,777,1099,2559,80,81,336,1105,86,599,1035,89,601,1114,1290,2140,2141,2144,100,106,109,127,2176,135,139,141,2572,2191,1173,1302,409,924,1180,926,1948,2462,1442,2466,425,171,428,2475,944,2483,1465,187,188,444,446,191,449,450,452,201,715,205,462,717,721,722,467,212,213,723,728,476,732,480,483,484,250,748,237,493,495,749,1262,242,499,244,1265,502,759,248,506,2543,252,509,254,255	we
2	m	1	pl	2	2	2,10	aardige jongens
3	fm	1	sg	276	3	3,1540,1541,1542,2052,2053,1545,1546,2055,2056,1549,2567,1554,2066,1559,2071,1562,27,28,2075,2079,2080,1569,2082,2086,2087,1071,48,1073,1074,1075,1076,2101,2102,2097,1080,2098,2099,2107,2105,2109,2113,2114,2115,580,581,582,1607,2118,2116,1611,2124,589,590,2127,1104,1107,2132,85,1111,1625,1630,1635,1636,1637,2147,1639,2151,2154,1131,1133,2166,1655,120,1657,2168,2171,2172,637,1150,1662,640,2174,2175,1157,1162,1167,2199,1699,2216,169,170,1193,1194,173,686,1705,1711,1713,2218,2222,2231,2233,1724,1725,2240,193,1729,1730,1732,2242,2254,1743,1744,2264,731,221,223,1759,1762,1252,1767,1256,1768,1769,1259,1770,1771,1774,1777,1779,1780,245,1783,1786,1787,1789,1791,1792,1795,773,1288,778,1804,1297,1809,1810,1812,1815,792,1304,794,1306,1308,1816,1310,287,288,1821,1822,1826,292,2500,2343,1322,1834,1328,820,1844,310,1846,1337,1338,1341,1853,1343,1854,1345,835,1349,838,1861,1354,845,1359,337,338,1361,1362,854,1366,2392,2394,1374,1377,1379,1382,871,1384,366,368,371,372,1398,2422,1402,1406,1408,1410,388,2438,906,909,1935,1947,1437,1952,1953,418,2467,1445,1958,1448,937,1962,1452,1455,1459,1972,1461,1464,441,1976,1980,1985,2328,1475,1476,1987,1478,2497,1480,1481,2499,1995,1996,2509,2501,1999,464,2513,1493,2517,1495,2521,2011,1500,2525,2017,2019,2022,2024,2537,2026,2029,1518,1519,2544,1523,2035,2036,2037,2550,1528,1529,1534	ik
6	fm	1	sg	524	6	1027,6,7,14,18,19,2068,21,22,2069,24,2073,2070,2077,1053,31,34,2084,37,1062,38,2085,1065,2088,43,2089,45,2093,2094,2095,1081,1082,1084,1086,1087,64,1089,1090,66,1092,1094,1095,2119,2123,76,77,2126,1103,83,2133,1110,2134,2135,2137,2138,91,92,1116,1115,95,96,97,2145,2149,1128,1134,1135,1136,115,116,1143,119,1144,1145,1146,1147,128,130,1155,132,133,1159,1160,138,1163,1164,140,142,144,145,149,150,1177,1179,157,158,159,2208,161,162,163,2209,164,168,1195,172,1196,175,1200,177,1201,1202,179,1205,182,181,185,1210,1211,2237,2238,1215,1216,190,1219,195,2245,196,1223,197,1222,1227,1228,1229,1230,2255,1233,1234,2257,1236,1237,2259,2261,216,1241,2263,2267,1246,1247,1249,226,227,1253,1260,236,238,239,1264,241,1267,243,2293,246,1271,2296,2297,1274,1275,2295,253,2302,1278,256,1281,258,2307,260,1282,1283,263,1287,266,267,268,272,275,278,1303,284,2340,294,295,296,1321,2298,2344,302,2299,311,312,313,314,2301,316,1344,321,1346,322,1348,2373,324,1351,325,328,330,331,332,2382,2383,2384,2385,2386,1363,1364,2388,342,2389,347,349,2407,362,363,364,1386,1387,1391,1390,373,2428,380,2434,1411,2435,389,1414,2436,393,396,398,1423,401,2450,403,1430,408,2457,1434,410,1441,420,423,429,430,431,2477,2479,434,2481,432,1462,1463,439,2489,1466,1467,2502,455,456,457,460,1485,1486,463,1491,469,2518,471,472,1498,474,475,477,1502,2526,1504,1505,1506,1508,2532,2535,2536,1512,1521,2551,2553,1530,1531,1532,2555,2558,514,2562,516,2564,2566,520,521,2569,1547,525,2574,2576,532,534,535,1560,1561,536,537,540,542,2591,543,546,547,550,552,1576,555,1581,560,1584,562,1585,1586,2613,2614,567,2616,2615,570,571,568,1588,574,575,576,1594,2617,2621,1604,2623,1606,2627,584,1609,2633,2631,588,1613,2638,2639,2640,592,593,595,596,597,1622,1623,600,2303,602,604,605,1632,1642,1643,622,1649,1650,629,630,631,1656,634,639,1663,641,1666,643,646,650,657,1684,1685,660,661,663,667,668,672,674,1703,680,679,682,684,1715,694,697,702,1727,704,1735,712,718,719,720,724,729,730,741,745,1781,1782,1785,770,772,783,785,788,789,800,801,809,814,1587,821,827,830,837,1591,842,844,857,858,1885,1886,1888,1889,868,1893,870,1894,872,1896,1898,880,883,1909,1912,889,892,895,896,898,899,1923,1924,902,1925,901,1929,905,1927,1928,1932,910,911,1933,1934,917,918,919,920,921,923,1949,1950,934,935,938,939,947,950,953,1982,960,961,962,964,965,966,1991,968,2000,2637,2031,1011,1015,1017,1019,1021	Bavink
13	n	0	pl	3	13	16,13,15	z'n vijven
17	-	-	pl	3	17	17,25,23	die
20	fm	1	sg	1	20	20	je
29	fm	1	sg	32	29	705,706,709,2437,904,2122,1998,1616,2387,215,2139,29,30,351,734,33,225,35,99,228,230,356,358,105,361,235,1828,2210,627,948,1593,2110	Je
32	m	1	sg	104	32	257,1284,1028,1286,1032,2570,2571,2573,784,1808,2578,2579,2583,2584,1817,1051,1052,1819,1820,1823,32,2587,2588,2593,2595,2597,1831,2599,1833,2601,1835,1837,1072,49,2352,51,52,1845,2357,2359,2360,2361,58,2363,60,2365,2366,2367,1856,1860,1093,1865,1867,1100,1101,334,1102,1874,1109,90,859,1882,1887,1141,1142,122,890,123,1149,1151,2177,1153,2179,903,147,2204,1951,2207,2211,2213,1959,1704,1960,1706,2217,2219,2221,1710,958,2241,1733,1734,969,1738,971,972,1740,1746,725,1238,1240,1250,1263,1023	Hoyer
36	m	1	sg	6	36	67,36,69,71,39,74	Kees Ploeger
41	n	0	sg	1	41	41	onzer dwaasheid
42	m	1	sg	2	42	265,42	Gods
50	fm	1	pl	1	50	50	we
53	n	0	pl	1	53	53	de bonzen van de S. D. A. P.
54	fm	1	sg	7	54	54,2183,2185,2235,2188,2189,2190	de S. D. A. P.
55	n	0	sg	1	55	55	een gebaar van twijfel
56	n	0	sg	1	56	56	twijfel
57	n	0	pl	6	57	882,131,151,57,156,2158	z'n handen
59	n	0	pl	1	59	59	z'n schouders
65	n	0	sg	1	65	65	een vaag besef
68	fm	1	sg	1	68	68	zijn baas
70	n	0	pl	1	70	70	z'n eigen klokken
72	n	0	sg	3	72	72,994,1254	een sigaar in z'n hoofd en vloeken op die kerels die nooit iets goed konden doen
73	n	0	sg	8	73	129,323,2260,1239,73,348,1277,526	z'n hoofd
75	-	-	pl	1	75	75	vloeken
78	-	-	both	2	78	78,79	we
82	n	0	pl	2	82	82,500	boeken
84	m	1	sg	8	84	416,417,84,217,411,333,414,399	Lien
87	n	0	sg	1	87	87	een prachtig stel kerels
88	n	0	pl	1	88	88	centen
93	n	0	pl	1	93	93	rijtuigen
94	n	0	pl	1	94	94	dure jassen
98	n	0	pl	1	98	98	Automobielen
101	n	0	sg	1	101	101	't hek van 't Oosterpark
102	n	0	sg	1	102	102	't Oosterpark
103	n	0	sg	1	103	103	Een heel kamerameublement
104	fm	1	both	1	104	104	je
107	n	0	sg	1	107	107	den rand van 't trottoir
108	n	0	sg	2	108	1946,108	't trottoir
110	-	-	pl	1	110	110	twaalven
111	n	0	pl	1	111	111	de straatsteenen
112	-	-	pl	2	112	112,113	de klinkers
114	-	-	pl	1	114	114	de sterren
117	n	0	sg	1	117	117	medelijden
118	fm	1	sg	1	118	118	z'n baas
121	n	0	sg	4	121	771,121,843,855	een gedicht
124	-	-	sg	2	124	1961,124	die blauwe steen
125	n	0	sg	1	125	125	het zwart recht boven onze hoofden
126	n	0	pl	2	126	1172,126	onze hoofden
134	n	0	sg	1	134	134	't sentimenteele af
136	n	0	sg	1	136	136	bed
137	fm	1	sg	6	137	2448,2010,137,1034,1993,2015	een mensch
143	n	0	sg	1	143	143	de Zuiderzee
146	n	0	sg	4	146	984,146,2549,1751	huis
148	n	0	sg	1	148	148	de kou
152	-	-	pl	1	152	152	de steenen
153	n	0	sg	1	153	153	den zeedijk
154	n	0	pl	1	154	154	de oogen
155	n	0	pl	1	155	155	hun oogharen
160	n	0	sg	9	160	160,1573,1190,167,942,1169,1524,1468,1118	't water
165	n	0	sg	1	165	165	de lange , lange schitterende streep
166	n	0	sg	1	166	166	den kant van 't water
174	n	0	sg	11	174	933,936,1192,1291,1515,1292,174,1294,1199,1293,1181	zee
176	n	0	sg	2	176	176,1171	de kim
