id	start	end	type	head	neclass	person	quote	gender	human	number	cluster	text
0	1	2	noun	2	-	-	O	n	0	sg	0	EERSTE HOOFDSTUK
1	3	3	pronoun	3	-	1	O	m	1	sg	1	Ik
2	5	7	noun	5	-	-	O	fm	1	sg	1	makelaar in koffie
3	7	7	noun	7	-	-	O	m	1	sg	3	koffie
4	12	13	noun	13	-	-	O	-	-	sg	4	de Lauriergracht
5	21	22	noun	22	-	-	O	n	0	sg	5	mijn gewoonte
6	21	21	pronoun	21	-	1	O	fm	1	sg	1	mijn
7	25	25	noun	25	-	-	O	n	-	pl	7	romans
8	30	31	noun	31	-	-	O	n	0	pl	8	zulke dingen
9	42	42	pronoun	42	-	1	O	fm	1	sg	1	ik
10	46	50	noun	47	-	-	O	n	0	sg	10	een paar riem papier extra
11	48	50	noun	49	-	-	O	n	0	sg	11	riem papier extra
12	55	56	noun	56	-	-	O	n	0	sg	12	het werk
13	60	60	pronoun	60	-	2	O	m	1	sg	1	gij
14	62	63	noun	63	-	-	O	fm	1	sg	14	lieve lezer
15	67	68	noun	68	-	-	O	n	0	sg	15	de hand
16	74	74	pronoun	74	-	2	O	fm	1	sg	1	ge
17	78	78	pronoun	78	-	2	O	fm	1	sg	1	ge
18	79	81	noun	79	-	-	O	fm	1	sg	1	makelaar in koffie
19	81	81	noun	81	-	-	O	m	1	sg	3	koffie
20	86	86	pronoun	86	-	2	O	fm	1	sg	1	ge
21	94	94	pronoun	94	-	1	O	fm	1	sg	1	ik
22	100	101	noun	101	-	-	O	n	0	sg	22	een roman
23	105	105	pronoun	105	-	1	O	fm	1	sg	1	ik
24	118	118	pronoun	118	-	1	O	m	1	sg	1	ik
25	119	122	noun	120	-	-	O	m	1	sg	1	een man van zaken
26	122	122	noun	122	-	-	O	n	0	pl	26	zaken
27	128	128	pronoun	128	-	1	O	m	1	sg	1	ik
28	129	129	pronoun	129	-	1	O	m	1	sg	1	mij
29	133	134	noun	134	-	-	O	n	0	pl	8	zulke dingen
30	138	138	pronoun	138	-	1	O	m	1	sg	1	ik
31	142	143	noun	143	-	-	O	n	0	sg	31	de onbeschaamdheid
32	146	147	noun	147	-	-	O	fm	1	sg	32	een dichter
33	149	149	noun	149	-	-	O	-	-	sg	33	romanverteller
34	150	150	pronoun	150	-	2	O	fm	1	sg	1	u
35	158	158	pronoun	158	-	3	O	n	0	sg	35	dat
36	170	170	pronoun	170	-	1	O	m	1	sg	1	ik
37	172	173	noun	173	-	-	O	n	0	sg	37	mijn vak
38	172	172	pronoun	172	-	1	O	m	1	sg	1	mijn
39	175	175	pronoun	175	-	1	O	fm	1	sg	1	ik
40	177	179	noun	177	-	-	O	fm	1	sg	1	makelaar in koffie
41	179	179	noun	179	-	-	O	m	1	sg	3	koffie
42	185	186	name	186	MISC	-	O	-	-	sg	42	Lauriergracht N
43	191	192	noun	192	-	-	O	n	0	sg	43	een principaal
44	194	195	noun	195	-	-	O	n	0	sg	43	een principaal
45	198	198	pronoun	198	-	-	O	-	-	sg	45	die
46	199	199	noun	199	-	-	O	m	1	sg	3	koffie
47	202	203	noun	203	-	-	O	n	0	sg	47	een opgave
48	208	212	noun	210	-	-	O	n	0	sg	48	een klein gedeelte der onwaarheden
49	211	212	noun	212	-	-	O	-	-	pl	49	der onwaarheden
50	215	215	pronoun	215	-	-	O	-	-	pl	50	die
51	217	217	noun	217	-	-	O	n	0	pl	51	gedichten
52	219	219	noun	219	-	-	O	n	-	pl	7	romans
53	220	221	noun	221	-	-	O	n	0	sg	53	de hoofdzaak
54	225	225	pronoun	225	-	3	O	m	1	sg	3	hij
55	227	229	name	229	PER	-	O	n	0	pl	55	Busselinck & Waterman
56	235	237	noun	235	-	-	O	fm	1	pl	56	makelaars in koffie
57	237	237	noun	237	-	-	O	m	1	sg	3	koffie
58	240	241	noun	241	-	-	O	n	0	sg	58	hun adres
59	240	240	pronoun	240	-	3	O	fm	1	pl	56	hun
60	243	243	pronoun	243	-	2	O	fm	1	sg	1	ge
61	248	248	pronoun	248	-	1	O	m	1	sg	1	Ik
62	256	256	pronoun	256	-	1	O	m	1	sg	1	ik
