id	gender	human	number	size	firstmention	mentions	label
0	n	0	both	1	0	0	TITAANTJES
1	fm	1	pl	137	1	256,1,258,512,4,5,260,262,8,9,263,11,12,267,269,270,523,525,527,529,788,533,278,764,1047,281,26,283,537,539,541,543,794,796,1049,1050,1051,516,1061,1317,1064,2598,42,555,1066,1067,46,765,48,49,561,1069,519,1071,566,1074,568,1076,1329,2614,573,63,64,65,575,2627,777,82,83,1289,89,346,92,610,612,1292,1126,103,1132,109,112,1141,131,2185,2186,139,2189,143,145,419,2221,176,1201,434,947,437,949,1208,2236,192,193,1988,197,454,967,456,1480,459,460,462,208,2515,212,2519,472,219,220,731,733,737,738,739,1505,485,2529,744,489,2537,748,493,494,245,503,505,250,252,509	we
2	m	1	pl	2	2	2,10	aardige jongens
3	fm	1	sg	274	3	3,1540,2051,2564,2568,2058,2060,2572,2063,2576,2065,2067,2580,2070,1559,27,1563,29,2076,2077,1568,1569,2592,1574,2599,1580,1581,1582,2094,2095,1585,50,1586,2097,1589,2098,1594,2622,1599,2111,1602,2116,2120,1098,1610,1100,1101,1102,591,592,593,1103,1107,2124,2125,2131,2132,88,600,601,2142,2143,2144,2146,2147,2150,2152,2154,1131,1134,1647,2158,2159,1138,1651,2160,2163,2161,2169,124,2172,1664,2177,1669,1159,1161,650,1674,1675,653,1676,1678,2192,2196,2199,1178,1695,1697,1185,2211,2213,1702,1190,2216,2217,1195,2219,2220,174,175,178,701,2244,1221,1222,199,1738,1744,2261,1750,2263,1752,2267,1763,1764,229,2276,231,1768,1769,2278,747,1771,2285,2287,1782,1783,253,2302,1279,1283,1286,1798,2312,1801,1806,1807,1808,1809,1810,1813,792,1816,1818,1819,797,1822,1825,1826,1315,1828,1830,1831,296,297,1834,1324,301,813,815,1842,1331,2605,1333,1335,1847,1337,1848,1850,1853,1854,319,1859,1860,1349,1864,2377,842,1355,1872,1365,1366,2392,1369,858,347,348,861,1371,1375,1882,1884,1379,868,1891,1892,1385,1898,877,1390,1392,1393,1397,376,378,381,894,382,1405,1408,1410,1413,1415,2443,2445,398,1432,1437,1441,930,1443,933,1445,2475,428,1975,2491,960,451,1475,1987,1992,1993,1483,1486,1998,2127,2002,1491,1494,2520,474,1498,1500,2012,1503,2015,2018,2023,2025,1515,1516,1518,1520,1521,2034,2035,2038,2551,2553,2554,2555,1533,1535	ik
6	fm	1	sg	375	6	6,7,1035,14,18,19,21,22,24,32,38,39,45,47,1080,2113,2114,2115,2118,78,79,1108,1109,86,1111,1113,1114,1116,1117,94,95,1119,1121,98,99,100,1130,1137,1143,2179,132,1156,2180,2182,2183,137,1162,136,1164,134,142,144,146,1171,148,149,1172,1173,1174,153,1175,1183,161,162,163,1187,165,166,167,1192,1188,1191,169,173,177,180,1205,182,1207,184,186,187,190,1223,1224,1227,1228,1229,204,2253,1232,2254,1237,1238,1242,1243,1246,224,1249,1250,1254,1255,1256,1257,2282,2283,1260,1261,234,235,1264,244,247,249,1274,251,1277,254,1280,1287,264,266,1294,276,1302,280,1305,284,1308,1309,287,1310,293,2345,2346,304,1330,321,322,323,1348,340,341,2389,342,2393,1374,1378,1394,1395,372,373,374,2424,2433,2434,2435,2436,2437,2439,2440,1417,1419,399,1424,1423,408,411,413,2461,418,420,1446,1449,2481,1461,438,439,440,441,2487,443,2488,2489,1472,1479,2503,2510,465,466,467,470,1501,478,1502,480,481,1506,2531,1507,2533,483,2535,484,486,2543,1525,1526,1531,2556,1538,1542,1544,1545,1546,1548,2573,524,526,1553,530,531,2581,535,1561,2587,542,2591,544,545,1570,1571,1572,546,547,2590,553,2606,560,2608,562,1587,2610,565,2613,2617,570,2619,572,2621,1600,1601,578,2624,580,2629,581,584,2633,2634,586,585,1617,1621,1624,2649,1625,1626,1627,1628,1631,1634,611,1644,1646,2671,2672,2673,2674,1649,2675,1653,2679,2681,1661,1662,2685,2689,2691,1670,2695,2696,2697,2698,2700,1677,2701,1681,1683,1689,1694,1696,1703,1705,1723,1724,718,1742,720,728,1754,734,735,736,740,1766,746,1774,1820,1821,1824,804,809,810,821,822,831,836,843,849,860,1896,881,891,893,895,1924,1925,903,1928,1927,906,1932,1933,1935,912,1937,915,919,920,922,926,1951,929,935,1962,1963,1964,941,942,943,1968,945,944,1966,1967,1971,1973,1974,957,958,961,962,1990,970	Bavink
13	n	0	pl	3	13	16,13,15	z'n vijven
17	-	-	pl	3	17	17,25,23	die
20	fm	1	sg	1	20	20	je
28	-	-	sg	1	28	28	hooren
30	fm	1	sg	31	30	640,2438,2184,1866,971,2255,721,722,725,30,222,31,928,34,1633,36,102,233,361,2155,108,236,238,366,368,750,243,371,2037,2167,2490	Je
